FaceAmount,PremiumMode,PremiumJump,RiskClass,IssueAge,LapseN,ExposureN
100-250K,monthly,1,NS,25-29,3,25
100-250K,monthly,1,NS,30-34,7,32
100-250K,monthly,1,NS,35-39,3,14
100-250K,monthly,1,NS,40-44,5,9
100-250K,monthly,1,NS,45-49,1,6
100-250K,monthly,1,NS,50-54,0,4
100-250K,monthly,1,NS,55-59,0,1
100-250K,monthly,1,SM,25-29,1,3
100-250K,monthly,1,SM,30-34,0,3
100-250K,monthly,1,SM,45-49,0,2
100-250K,monthly,1,SM,50-54,1,1
100-250K,monthly,1.5,NS,25-29,207,1162
100-250K,monthly,1.5,NS,30-34,95,747
100-250K,monthly,1.5,NS,35-39,76,509
100-250K,monthly,1.5,NS,40-44,60,278
100-250K,monthly,1.5,NS,45-49,81,233
100-250K,monthly,1.5,NS,50-54,15,36
100-250K,monthly,1.5,SM,25-29,46,301
100-250K,monthly,1.5,SM,30-34,22,174
100-250K,monthly,1.5,SM,35-39,15,86
100-250K,monthly,1.5,SM,40-44,13,76
100-250K,monthly,1.5,SM,45-49,31,55
100-250K,monthly,1.5,SM,50-54,7,16
100-250K,monthly,2.5,NS,25-29,299,1154
100-250K,monthly,2.5,NS,30-34,405,1604
100-250K,monthly,2.5,NS,35-39,560,1685
100-250K,monthly,2.5,NS,40-44,568,1637
100-250K,monthly,2.5,NS,45-49,335,851
100-250K,monthly,2.5,NS,50-54,353,735
100-250K,monthly,2.5,NS,55-59,259,458
100-250K,monthly,2.5,SM,25-29,98,388
100-250K,monthly,2.5,SM,30-34,249,749
100-250K,monthly,2.5,SM,35-39,329,908
100-250K,monthly,2.5,SM,40-44,315,707
100-250K,monthly,2.5,SM,45-49,201,384
100-250K,monthly,2.5,SM,50-54,86,150
100-250K,monthly,2.5,SM,55-59,49,75
100-250K,monthly,3.5,NS,25-29,433,1538
100-250K,monthly,3.5,NS,30-34,596,2220
100-250K,monthly,3.5,NS,35-39,608,1802
100-250K,monthly,3.5,NS,40-44,710,1706
100-250K,monthly,3.5,NS,45-49,665,1316
100-250K,monthly,3.5,NS,50-54,306,563
100-250K,monthly,3.5,NS,55-59,91,147
100-250K,monthly,3.5,SM,25-29,83,259
100-250K,monthly,3.5,SM,30-34,138,383
100-250K,monthly,3.5,SM,35-39,217,456
100-250K,monthly,3.5,SM,40-44,222,386
100-250K,monthly,3.5,SM,45-49,156,236
100-250K,monthly,3.5,SM,50-54,92,153
100-250K,monthly,3.5,SM,55-59,42,61
100-250K,monthly,4.5,NS,25-29,68,190
100-250K,monthly,4.5,NS,30-34,442,1150
100-250K,monthly,4.5,NS,35-39,612,1646
100-250K,monthly,4.5,NS,40-44,666,1339
100-250K,monthly,4.5,NS,45-49,576,1100
100-250K,monthly,4.5,NS,50-54,504,817
100-250K,monthly,4.5,NS,55-59,342,497
100-250K,monthly,4.5,SM,25-29,35,80
100-250K,monthly,4.5,SM,30-34,86,211
100-250K,monthly,4.5,SM,35-39,80,170
100-250K,monthly,4.5,SM,40-44,90,131
100-250K,monthly,4.5,SM,45-49,99,134
100-250K,monthly,4.5,SM,50-54,97,118
100-250K,monthly,4.5,SM,55-59,59,79
100-250K,monthly,5.5,NS,25-29,73,156
100-250K,monthly,5.5,NS,30-34,101,246
100-250K,monthly,5.5,NS,35-39,294,580
100-250K,monthly,5.5,NS,40-44,515,871
100-250K,monthly,5.5,NS,45-49,666,930
100-250K,monthly,5.5,NS,50-54,603,866
100-250K,monthly,5.5,NS,55-59,433,589
100-250K,monthly,5.5,SM,25-29,16,24
100-250K,monthly,5.5,SM,30-34,75,130
100-250K,monthly,5.5,SM,35-39,131,267
100-250K,monthly,5.5,SM,40-44,185,295
100-250K,monthly,5.5,SM,45-49,190,259
100-250K,monthly,5.5,SM,50-54,105,129
100-250K,monthly,5.5,SM,55-59,64,73
100-250K,monthly,6.5,NS,25-29,62,114
100-250K,monthly,6.5,NS,30-34,73,146
100-250K,monthly,6.5,NS,35-39,156,301
100-250K,monthly,6.5,NS,40-44,217,360
100-250K,monthly,6.5,NS,45-49,272,394
100-250K,monthly,6.5,NS,50-54,423,572
100-250K,monthly,6.5,NS,55-59,627,777
100-250K,monthly,6.5,SM,25-29,5,6
100-250K,monthly,6.5,SM,30-34,50,76
100-250K,monthly,6.5,SM,35-39,58,86
100-250K,monthly,6.5,SM,40-44,140,195
100-250K,monthly,6.5,SM,45-49,210,268
100-250K,monthly,6.5,SM,50-54,223,271
100-250K,monthly,6.5,SM,55-59,106,120
100-250K,monthly,7.5,NS,25-29,21,64
100-250K,monthly,7.5,NS,30-34,65,133
100-250K,monthly,7.5,NS,35-39,89,149
100-250K,monthly,7.5,NS,40-44,148,242
100-250K,monthly,7.5,NS,45-49,245,358
100-250K,monthly,7.5,NS,50-54,365,451
100-250K,monthly,7.5,NS,55-59,215,263
100-250K,monthly,7.5,SM,25-29,1,3
100-250K,monthly,7.5,SM,30-34,35,48
100-250K,monthly,7.5,SM,35-39,95,126
100-250K,monthly,7.5,SM,40-44,126,171
100-250K,monthly,7.5,SM,45-49,106,128
100-250K,monthly,7.5,SM,50-54,110,125
100-250K,monthly,7.5,SM,55-59,95,107
100-250K,monthly,8.5,NS,25-29,25,56
100-250K,monthly,8.5,NS,30-34,43,73
100-250K,monthly,8.5,NS,35-39,84,141
100-250K,monthly,8.5,NS,40-44,104,160
100-250K,monthly,8.5,NS,45-49,168,233
100-250K,monthly,8.5,NS,50-54,262,322
100-250K,monthly,8.5,NS,55-59,414,480
100-250K,monthly,8.5,SM,25-29,0,1
100-250K,monthly,8.5,SM,30-34,11,14
100-250K,monthly,8.5,SM,35-39,45,61
100-250K,monthly,8.5,SM,40-44,67,80
100-250K,monthly,8.5,SM,45-49,46,59
100-250K,monthly,8.5,SM,50-54,54,61
100-250K,monthly,8.5,SM,55-59,64,68
100-250K,monthly,9.5,NS,25-29,13,20
100-250K,monthly,9.5,NS,30-34,66,115
100-250K,monthly,9.5,NS,35-39,92,137
100-250K,monthly,9.5,NS,40-44,178,274
100-250K,monthly,9.5,NS,45-49,246,326
100-250K,monthly,9.5,NS,50-54,171,200
100-250K,monthly,9.5,NS,55-59,115,125
100-250K,monthly,9.5,SM,30-34,5,7
100-250K,monthly,9.5,SM,35-39,39,47
100-250K,monthly,9.5,SM,40-44,40,45
100-250K,monthly,9.5,SM,45-49,12,12
100-250K,monthly,9.5,SM,50-54,14,15
100-250K,monthly,9.5,SM,55-59,69,73
100-250K,monthly,10.5,NS,25-29,6,12
100-250K,monthly,10.5,NS,30-34,50,80
100-250K,monthly,10.5,NS,35-39,50,90
100-250K,monthly,10.5,NS,40-44,108,130
100-250K,monthly,10.5,NS,45-49,198,239
100-250K,monthly,10.5,NS,50-54,302,353
100-250K,monthly,10.5,NS,55-59,164,181
100-250K,monthly,10.5,SM,30-34,5,6
100-250K,monthly,10.5,SM,35-39,17,22
100-250K,monthly,10.5,SM,40-44,11,11
100-250K,monthly,10.5,SM,45-49,11,13
100-250K,monthly,10.5,SM,50-54,9,9
100-250K,monthly,10.5,SM,55-59,28,30
100-250K,monthly,11.5,NS,25-29,3,9
100-250K,monthly,11.5,NS,30-34,29,43
100-250K,monthly,11.5,NS,35-39,75,114
100-250K,monthly,11.5,NS,40-44,135,183
100-250K,monthly,11.5,NS,45-49,269,310
100-250K,monthly,11.5,NS,50-54,255,282
100-250K,monthly,11.5,NS,55-59,165,180
100-250K,monthly,11.5,SM,35-39,8,10
100-250K,monthly,11.5,SM,40-44,4,7
100-250K,monthly,11.5,SM,45-49,2,4
100-250K,monthly,11.5,SM,50-54,14,15
100-250K,monthly,11.5,SM,55-59,34,35
100-250K,monthly,12.5,NS,25-29,5,5
